id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"HDN-0001","Tixo Cover Builder","Tixo Cover Builder - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/tixo-cover-builder","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/t/i/tixo_cover_1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0002","Kit Neon Builder Gel","Kit Neon Builder Gel - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","159.00 EUR","https://www.hdnails.it/kit-neon-builder-gel","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/n/e/neon_builder_gel_a_1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0003","Kit Russian Builder Soufflé","Kit Russian Builder Soufflé - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","87.00 EUR","https://www.hdnails.it/kit-russian-builder-souffle","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/t/a/tavola_da_disegno_4_2.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0004","Neon Builder Gel 7","Neon Builder Gel 7 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/neon-builder-gel-7","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/n/e/neon_builder_gel_7b.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0005","Neon Builder Gel 6","Neon Builder Gel 6 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/neon-builder-gel-6","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/n/e/neon_builder_gel_6b.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0006","Neon Builder Gel 5","Neon Builder Gel 5 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/neon-builder-gel-5","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/n/e/neon_builder_gel_5b.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0007","Neon Builder Gel 4","Neon Builder Gel 4 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/neon-builder-gel-4","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/n/e/neon_builder_gel_4b.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0008","Neon Builder Gel 3","Neon Builder Gel 3 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/neon-builder-gel-3","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/n/e/neon_builder_gel_3b.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0009","Neon Builder Gel 2","Neon Builder Gel 2 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/neon-builder-gel-2","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/n/e/neon_builder_gel_2b.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0010","Neon Builder Gel 1","Neon Builder Gel 1 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/neon-builder-gel-1","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/n/e/neon_builder_gel_1b.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0011","Russian Builder Soufflé 7","Russian Builder Soufflé 7 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/russian-builder-souffle-7","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/r/u/russian_b_s_7_1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
