categoria_top_level;num_prodotti
smalti-e-gel-hema-free;248
nail-art-e-decorazioni;237
smalti-semipermanenti;165
attrezzature;160
gel-da-ricostruzione;143
saldi-al-50-e-piu;112
kit-hdnailsr-in-offerta;62
acrygel;58
new-collection;57
best-seller;47
red-obsession-collection;41
dual-form-and-tip;40
limited-edition;36
trattamento-mani;26
lucidi-top-gloss;25
promozioni-del-mese;24
acrilico;19
lime-buffer;19
unicorn-collection;15
base-gel-semipermanente;10
monofase-flexy;10
preparatori-and-liquidi;8
color-gel;8
pedicure;7
olio-cuticole;7
lime;3
preparatori-adesione;3
video-corsi;3
schede-tecniche;3
