sku;nome;prezzo_eur;disponibilita;categoria_principale;tutte_le_categorie;brand;descrizione_completa;specifiche;url_prodotto;immagini;numero_immagini
acrylic-color-03-violet;Acrylic Color 03 Violet;12.2;InStock;acrilico/colori-acrylic-acrilico;acrilico | acrilico/colori-acrylic-acrilico;HDNails;"Acrylic Color 03 Violet

Polvere acrylic color 03 Violet extra-fine colorata.

Permette di creare in piena libertà qualsiasi tipo de nail art ed effetti.

Ottima sia per il french che per effettuare decorazioni 3D.

Da utilizare insieme al monomero HD Nails

10g";"Acrylic Color 03 Violet

Polvere acrylic color 03 Violet extra-fine colorata.

Permette di creare in piena libertà qualsiasi tipo de nail art ed effetti.

Ottima sia per il french che per effettuare decorazioni 3D.

Da utilizare insieme al monomero HD Nails

10g";https://www.hdnails.it/acrylic-color-03-violet;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa5d5d723_1.jpg;1
pennello-acrylic-art-8;Pennello Acrylic Art 8;24;OutOfStock;attrezzature/pennelli-attrezzature/pennelli-acrilico-pennelli-attrezzature;attrezzature | attrezzature/pennelli-attrezzature | attrezzature/pennelli-attrezzature/pennelli-acrilico-pennelli-attrezzature;HDNails;"Pennello Acrylic Art 8

Pennello Acrylic Art 8 - Perfetto Pennello in setola naturale Kolinsky.

Ottimo per la ricostruzione in Acrilico e Acri Gel, dopo il Primer acido.

Dimensione media 18 mm di lunghezza e 6 mm di larghezza può contenere giusta quantità di liquido Monomero per una pallina di medie dimensioni.

Incluso tappo coordinato per proteggere da luce e polvere.";;https://www.hdnails.it/pennello-acrylic-art-8;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_69608c4ce3685_1.jpg | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa5f5eefe_1.jpg | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa5f93b3d_1.jpg;3
acrylic-color-04-yellow;Acrylic Color 04 Yellow;12.2;InStock;acrilico/colori-acrylic-acrilico;acrilico | acrilico/colori-acrylic-acrilico;HDNails;"Acrylic Color 04 Yellow

Polvere acrylic color 04 Yellow extra-fine colorata.

Permette di creare in piena libertà qualsiasi tipo de nail art ed effetti.

Ottima sia per il french che per effettuare decorazioni 3D.

Da utilizare insieme al monomero HD Nails

10g";;https://www.hdnails.it/acrylic-color-04-yellow;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa631d479_1.jpg;1
pennello-acrylic-art-2;Pennello Acrylic Art 2;14.9;OutOfStock;attrezzature/pennelli-attrezzature/pennelli-acrilico-pennelli-attrezzature;attrezzature | attrezzature/pennelli-attrezzature | attrezzature/pennelli-attrezzature/pennelli-acrilico-pennelli-attrezzature;HDNails;"Pennello Acrylic Art 2

Pennello Acrylic Art 2 - Pennello in setola Naturale Kolinsky. Da utilizzare per polvere acrilica 3D e gel 3D plastilina.

Dimensione piccola 8mm lunghezza e 4 di larghezza.

La punta è molto sottile per permette un lavoro di precisione, ottima la qualità delle setole, non si aprono durante la lavorazione permettendone un lungo utilizzo.

Incluso tappo coordinato per proteggere da luce e polvere.";;https://www.hdnails.it/pennello-acrylic-art-2;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_69608c573ef77_1.jpg | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa64d1825_1.jpg | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa650da74_1.jpg;3
acrylic-color-05-fucsia;Acrylic Color 05 Fucsia;12.2;InStock;acrilico/colori-acrylic-acrilico;acrilico | acrilico/colori-acrylic-acrilico;HDNails;"Acrylic Color 05 Fucsia

Polvere acrylic color 05 Fucsia extra-fine colorata.

Permette di creare in piena libertà qualsiasi tipo de nail art ed effetti.

Ottima sia per il french che per effettuare decorazioni 3D.

Da utilizare insieme al monomero HD Nails

10g";;https://www.hdnails.it/acrylic-color-05-fucsia;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa686deaa_1.jpg;1
gel-monofasico-master;Gel Monofasico Master - Gel Costruttore;50.41;InStock;gel-da-ricostruzione/gel-trasparenti-costruttori;gel-da-ricostruzione | lucidi-top-gloss | gel-da-ricostruzione/gel-trasparenti-costruttori | lucido-finale/lucidi-classici;HDNails;"Gel monofasico Master
Gel monofasico Master  - Uv Led Base,costruttore,builder,lucido. Gel base ottima adesione con l'unghia naturale, builder gel adatto alla ricostruzione con Nail Form e Tip, sigillante ULTRA lucido di colore Trasparente. Consigliato como builder sigillante e chiusura french, autolivellante, filtro antingiallente 3in1 Superior Gel / Monofasico Superiore Il gel master monofase denso e perfetto, può essere utilizzato come base, ricostruzione e finale extra lucido. Eccellente base ad altissima tenuta specifico per allungamenti con massima estensione.
Modo d'utilizzo:
Dopo aver fatto la manicure e spruzzato il Nail Prep (deidratante) Utilizzare il Primer Acido per rendere l'unghia più aderente. Se dovete fare un refil o copertura gel stendere il Gel monofasico Master Autolivellante a stratto sottile e catalizzarlo. Altrimenti posizionate le vostre nail form o tips. Dopo di che sulla dispersione fare la vostra bombatura o ricostruzione. Vi consiglio di utilizzare la nostra lima di grana 150/180 che non è tanto agressiva per poter dare bene la vostra forma preferita. dopo che avete sgrassato e opacizzato  potete stendere il vostro colore gel o smalto semipermanete a vostro gradimento. Consigliamo di sigillare il colore con un stratto di gel per dare più resistenza al vostro ritocco gel o ricostruzione. Dopo potete decidere se chiudere con il gel monofasico Unifast ( Non più di 70 secondi lamp Led) Atrimente anche con un lucido a smalto. Come per esempio Crystal gloss oppure il Shin on un lucido senza dispersione
Carateristiche:
Barattolo  50ml Polimerizza Lampada UV 120 sec. Lampada Led 60 sec. Pincing dopo 30 sec. e mantiene forma C.";;https://www.hdnails.it/gel-monofasico-master-gel-costruttore;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa69f2910_1.jpg;1
glue-gel;Glue Gel;12.2;InStock;attrezzature/colla-per-unghie-attrezzature;nail-art-e-decorazioni | attrezzature | attrezzature/colla-per-unghie-attrezzature;HDNails;"Glue Gel

Glue Gel - E' una colla in gel trasparente fatta apposta per attaccare swarovski strass perline piercing.

Vi capita che gli swarovski  si stacchino dopo 1 giorno? Questo è  il prodotto perfetto!

Ha una lunga durata, e facile da utilizzare. Potete finalmente attaccare le vostre decorazioni unghie in rillievo.

Lo potete utilizzare sopra la dispersione del gel, del semipermanete o anche dopo che avete sgrassato il vostro gel o lucido.

Basta una piccola quantità.
Tempi di Asciugatura:

Polimerizza in lampada Led u v 60 sec

Lampada Uv 120 sec.

Barattolino 7ml";;https://www.hdnails.it/glue-gel;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa6b8420a_1.jpg;1
glitter-paillettes-oro-19;Polvere Glitter Paillettes Oro 19;3.95;OutOfStock;nail-art-e-decorazioni/pailletes-nail-art-e-decorazioni;nail-art-e-decorazioni | nail-art-e-decorazioni/pailletes-nail-art-e-decorazioni;HDNails;"Glitter Paillettes Oro 19
Glitter Paillettes Oro 19 - Polvere Glitter Paillettes  Riflesso  Oro per la Nail Art. Questa Paillettes sono molto fini. Se si vuole ottenere l'effetto in rilievo,  utilizzate uno stratto di Gleam top , base senza dispersione, utilizzata anche per polvere cromata a effetto a specchio.
Modalità di applicazione:
Stendere la base senza dispersione Gleam top  (consigliamo questa base perché catalizza in lampada lentamente) E versate la polvere sul prodotto non polimerizzato.
Dopodiché far polimerizzare 60 sec. in lampada a Led uv. E' importante utilizzare un prodotto senza dispersione se si vuole avere l'effetto 3D Altrimenti potete chiudere con un gel o gloss denso.
Limate leggermente tutto il bordo libero dell'unghia, In modo che il  gel lucido che avete scelto si aggrappi bene alla base.
Se siete abituate a chiudere con un gel, vi consiglio il Monofasico Master o Monofasico Unifast.
Noi consigliamo sempre di chiudere con un gel per avere maggiore durata. Già che facilmente si consumano le punte e si rischiano i sollevamenti.
Invece se Preferite chiudere con un lucido a smalto potete utilizzare il Glossy top , lucido perfetto per la sua densità leggermente denso.";;https://www.hdnails.it/polvere-glitter-paillettes-oro-19;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa6d3b4f7_1.jpg | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa6d63b65_1.jpg;2
spider-gel-black;Spider Gel Black - Gel da decorazione;9.7;InStock;nail-art-e-decorazioni/spider-gel-nail-art-e-decorazioni;promozioni-del-mese | nail-art-e-decorazioni | nail-art-e-decorazioni/spider-gel-nail-art-e-decorazioni;HDNails;"Spider Gel è un gel per decorazioni, nelle colorazioni bianco o nero, creato per la tecnica di Nail Art che consente di realizzare l'effetto ragnatela!

Utilizzando un filo di gel presso direttamente dal baratolo si possono creare righe verticali, orizzontali e diagonali a piacimento; Sigilare con il top.

Polimerizza in lampada UV 180 secondi e LED 60 secondi.";;https://www.hdnails.it/spider-gel-black-gel-da-decorazione;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa6f9ce40_1.jpg;1
polvere-specchio-argento-13;Polvere Specchio Argento 13;6.4;InStock;nail-art-e-decorazioni/polvere-cromata-nail-art-e-decorazioni;nail-art-e-decorazioni | nail-art-e-decorazioni/polvere-cromata-nail-art-e-decorazioni;HDNails;"Polvere Specchio Argento 13

Polvere Specchio Argento 13 - La polvere Cromata Effetto Specchio Argento per la Nail Art. Questa Polvere  molto fine può cambiare tonalità in base al colore che metti sotto come base. Se si vuole ottenere l'effetto chromato a specchio utilizzate uno stratto di Gleam top, base senza dispersione per polvere chromata a effetto a specchio.
Modalità di applicazione:

Stendere la base senza dispersione Gleam top , consigliamo questa base perché catalizza in lampada lentamente. Far polimerizzare 30 sec. in lampada a Led uv. Applicare successivamente la polvere per creare l’effetto cromato, aiutatevi con un pennellino in gommapiuma, in alternativa potete utilizzare il dito con indosso il guanto monouso. E' importante prima di chiudere, limare leggermente tutto il bordo libero dell'unghia, In modo che il  gel lucido o il lucido a smalto che avete scelto si aggrappi bene alla base. Se siete abituate a chiudere con un gel, vi consiglio il Monofasico Master o Monofasico Unifast. Invece se Preferite chiudere con un lucido a smalto potete utilizzare il Glossy top, lucido perfetto per la sua densità leggermente denso. Inoltre se  volete potete anche applicare la polvere sopra al lucido non polimerizzato per creare l’effetto zucchero o brillantinato.";;https://www.hdnails.it/polvere-specchio-argento-13;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa73a873d_1.jpg | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa73d1880_1.jpg;2
